State,District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Tamil Nadu,TIRUPPUR,2015-16,Rabi,2061,21739,10.55
Tamil Nadu,TIRUPPUR,2016-17,Kharif,1058,16101,15.22
Tamil Nadu,TIRUPPUR,2016-17,Rabi,686,8268,12.05
Tamil Nadu,TIRUPPUR,2017-18,Kharif,320,3855,12.05
Tamil Nadu,TIRUPPUR,2017-18,Rabi,1414,16049,11.35
Tamil Nadu,TIRUPPUR,2018-19,Kharif,1041,12671,12.17
Tamil Nadu,TIRUPPUR,2018-19,Rabi,1157,15617,13.5
Tamil Nadu,TIRUPPUR,2019-20,Kharif,843,11264,13.36
Tamil Nadu,TIRUPPUR,2019-20,Rabi,1500,22181,14.79
Tamil Nadu,TIRUVANNAMALAI,2013-14,Kharif,35,407,11.63
Tamil Nadu,TIRUVANNAMALAI,2013-14,Rabi,38,322,8.47
Tamil Nadu,TIRUVANNAMALAI,2014-15,Kharif,54,459,8.5
Tamil Nadu,TIRUVANNAMALAI,2014-15,Rabi,31,267,8.61
Tamil Nadu,TIRUVANNAMALAI,2015-16,Kharif,58,559,9.64
Tamil Nadu,TIRUVANNAMALAI,2015-16,Rabi,66,428,6.48
Tamil Nadu,TIRUVANNAMALAI,2016-17,Kharif,46,482,10.48
Tamil Nadu,TIRUVANNAMALAI,2016-17,Rabi,22,113,5.14
Tamil Nadu,TIRUVANNAMALAI,2017-18,Kharif,10,97,9.7
Tamil Nadu,TIRUVANNAMALAI,2017-18,Rabi,11,102,9.27
Tamil Nadu,TIRUVANNAMALAI,2018-19,Kharif,31,270,8.71
Tamil Nadu,TIRUVANNAMALAI,2018-19,Rabi,45,257,5.71
Tamil Nadu,TIRUVANNAMALAI,2019-20,Kharif,33,301,9.12
Tamil Nadu,TIRUVANNAMALAI,2019-20,Rabi,70,495,7.07
Tamil Nadu,TUTICORIN,2013-14,Kharif,2,23,11.5
Tamil Nadu,TUTICORIN,2013-14,Rabi,1079,2096,1.94
Tamil Nadu,TUTICORIN,2014-15,Kharif,4,34,8.5
Tamil Nadu,TUTICORIN,2014-15,Rabi,1306,12073,9.24
Tamil Nadu,TUTICORIN,2015-16,Kharif,6,58,9.67
Tamil Nadu,TUTICORIN,2015-16,Rabi,1640,1481,0.9
Tamil Nadu,TUTICORIN,2016-17,Kharif,9,94,10.44
Tamil Nadu,TUTICORIN,2016-17,Rabi,2864,1736,0.61
Tamil Nadu,TUTICORIN,2017-18,Kharif,4,39,9.75
Tamil Nadu,TUTICORIN,2017-18,Rabi,2684,7578,2.82
Tamil Nadu,TUTICORIN,2018-19,Kharif,8,73,9.13
Tamil Nadu,TUTICORIN,2018-19,Rabi,3313,1462,0.44
Tamil Nadu,TUTICORIN,2019-20,Kharif,55,501,9.11
Tamil Nadu,TUTICORIN,2019-20,Rabi,4035,18300,4.54
Tamil Nadu,VELLORE,2013-14,Kharif,19,221,11.63
Tamil Nadu,VELLORE,2013-14,Rabi,13,110,8.46
Tamil Nadu,VELLORE,2014-15,Kharif,57,178,3.12
Tamil Nadu,VELLORE,2014-15,Rabi,14,121,8.64
Tamil Nadu,VELLORE,2015-16,Kharif,17,164,9.65
Tamil Nadu,VELLORE,2015-16,Rabi,40,259,6.48
Tamil Nadu,VELLORE,2016-17,Kharif,34,348,10.24
Tamil Nadu,VELLORE,2016-17,Rabi,21,109,5.19
Tamil Nadu,VELLORE,2017-18,Kharif,10,97,9.7
Tamil Nadu,VELLORE,2017-18,Rabi,7,65,9.29
Tamil Nadu,VELLORE,2018-19,Kharif,23,198,8.61
Tamil Nadu,VELLORE,2018-19,Rabi,16,93,5.81
Tamil Nadu,VELLORE,2019-20,Kharif,23,209,9.09
Tamil Nadu,VELLORE,2019-20,Rabi,21,148,7.05
Tamil Nadu,VILLUPURAM,2013-14,Kharif,59,686,11.63
Tamil Nadu,VILLUPURAM,2013-14,Rabi,47,398,8.47
Tamil Nadu,VILLUPURAM,2014-15,Kharif,110,934,8.49
Tamil Nadu,VILLUPURAM,2014-15,Rabi,60,517,8.62
Tamil Nadu,VILLUPURAM,2015-16,Kharif,170,1639,9.64
Tamil Nadu,VILLUPURAM,2015-16,Rabi,86,558,6.49
Tamil Nadu,VILLUPURAM,2016-17,Kharif,140,1451,10.36
Tamil Nadu,VILLUPURAM,2016-17,Rabi,54,273,5.06
